date,kidid,trial,standard,standard_number,standardlabel,order,condition,1st_response,dimension-1,2nd_response,dimension-2,3rd_response,dimension-3,exclude?,confused? - coder1,confused?- coder2,more than one,more than one-coder2,,
10/15/2025,10,1,white circular box,1,the zimbo,312,function,shape,1,,,,,,no,,no,,17 (4) ,december 18th 2025
10/15/2025,10,2,the clay plate,2,the dax,123,function,shape,1,,,,,,no,,no,,6 (5),
10/15/2025,10,3,orange box,3,the fep,231,function,shape,1,,,,,,no,,no,,7 (3-2),
10/15/2025,10,4,"green ""s""",4,the blicket,312,function,shape,1,,,,,,no,,no,,,
10/15/2025,10,5,present wrapped dog toy,5,the gorp,123,function,shape,1,,,,,,no,,no,,,
10/15/2025,10,6,scissors w/bubbles,6,the wap,231,function,function,2,,,shape,1,,no,,yes,,,
10/15/2025,10,7,brown clay heart,7,the blint ,312,function,shape,1,,,function,2,,no,,yes,,,
10/17/2025,11,1,white circular box,1,the blint ,312,function,shape,1,,,,,,no,,no,,,
10/17/2025,11,2,the clay plate,2,the zimbo,123,function,shape,1,,,,,,no,,no,,,
10/17/2025,11,3,orange box,3,the dax,231,function,shape,1,,,,,,no,,no,,,
10/17/2025,11,4,"green ""s""",4,the fep,312,function,shape,1,,,,,,no,,no,,,
10/17/2025,11,5,present wrapped dog toy,5,the blicket,123,function,shape,1,,,,,,no,,no,,,
10/17/2025,11,6,scissors w/bubbles,6,the gorp,231,function,shape,1,,,,,,no,,no,,,
10/17/2025,11,7,brown clay heart,7,the wap,312,function,function,2,,,,,,no,,no,,,
10/17/2025,12,1,white circular box,1,the wap,312,function,shape,1,,,,,,no,,no,,,
10/17/2025,12,2,the clay plate,2,the blint ,123,function,shape,1,,,,,,no,,no,,,
10/17/2025,12,3,orange box,3,the zimbo,231,function,shape,1,function,2,distractor,3,,no,,yes,,,
10/17/2025,12,4,"green ""s""",4,the dax,312,function,shape,1,,,,,,no,,no,,,
10/17/2025,12,5,present wrapped dog toy,5,the fep,123,function,shape,1,,,,,,no,,no,,,
10/17/2025,12,6,scissors w/bubbles,6,the blicket,231,function,function,2,,,,,,no,,no,,,
10/17/2025,12,7,brown clay heart,7,the gorp,312,function,function,2,,,,,,no,,no,,,
10/17/2025,13,1,white circular box,1,the gorp,312,function,shape,1,,,,,,no,,no,,,
10/17/2025,13,2,the clay plate,2,the wap,123,function,shape,1,,,,,,no,,no,,,
10/17/2025,13,3,orange box,3,the blint ,231,function,distractor,3,function,2,shape,1,,no,,yes,,,
10/17/2025,13,4,"green ""s""",4,the zimbo,312,function,shape,1,,,,,,no,,no,,,
10/17/2025,13,5,present wrapped dog toy,5,the dax,123,function,shape,1,,,,,,no,,no,,,
10/17/2025,13,6,scissors w/bubbles,6,the fep,231,function,function,2,,,shape,1,,no,,yes,,,
10/17/2025,13,7,brown clay heart,7,the blicket,312,function,function,2,,,,,,no,,no,,,
10/20/2025,14,1,white circular box,1,the blicket,312,function,shape,1,,,function,2,,no,,yes,,,
10/20/2025,14,2,the clay plate,2,the gorp,123,function,function,2,,,,,,no,,no,,,
10/20/2025,14,3,orange box,3,the wap,231,function,shape,1,,,,,,no,,no,,,
10/20/2025,14,4,"green ""s""",4,the blint ,312,function,shape,1,,,,,,no,,no,,,
10/20/2025,14,5,present wrapped dog toy,5,the zimbo,123,function,shape,1,,,,,,no,,no,,,
10/20/2025,14,6,scissors w/bubbles,6,the dax,231,function,shape,1,function,2,,,,no,,yes,,,
10/20/2025,14,7,brown clay heart,7,the fep,312,function,function,2,,,,,,no,,no,,,
10/20/2025,15,1,white circular box,1,the fep,312,function,shape,1,,,,,,no,,no,,,
10/20/2025,15,2,the clay plate,2,the blicket,123,function,distractor,3,,,,,,no,,no,,,
10/20/2025,15,3,orange box,3,the gorp,231,function,shape,1,,,,,,no,,no,,,
10/20/2025,15,4,"green ""s""",4,the wap,312,function,shape,1,,,,,,no,,no,,,
10/20/2025,15,5,present wrapped dog toy,5,the blint ,123,function,shape,1,,,,,,no,,no,,,
10/20/2025,15,6,scissors w/bubbles,6,the zimbo,231,function,shape,1,,,,,,no,,no,,,
