8,kidid,trial,standard,standard_number,standardlabel,order,condition,1st_response,dimension-1,2nd_response,dimension-2,3rd_response,dimension-3,test_objects,exclude?,confused? - coder1,confused?- coder2,more than one,more than one-coder2,Repeat tested
4/13/2026,70,1,"green ""s""",4,the dax,231,function,shape,1,,,,,,,,,,,
4/13/2026,70,2,orange box,3,the gorp,312,function,shape,1,,,,,,,,,,,
4/13/2026,70,3,scissors w/bubbles,6,the fep,123,function,function,2,,,,,,,,,,,
4/13/2026,70,4,brown clay heart,7,the blicket,231,function,function,2,,,,,,,,,,,
4/13/2026,70,5,white circular box,1,the blint ,231,function,shape,1,,,,,,,,,,,
4/13/2026,70,6,the clay plate,2,the wap,312,function,shape,1,,,,,,,,,,,
4/13/2026,70,7,present wrapped dog toy,5,the zimbo,123,function,shape,1,,,,,,,,,,,
4/13/2026,71,1,scissors w/bubbles,6,the gorp,123,function,function,2,,,,,,,,,,,
4/13/2026,71,2,brown clay heart,7,the fep,132,function,function,2,shape,1,,,,,,,,,
4/13/2026,71,3,white circular box,1,the blicket,213,function,shape,1,,,,,,,,,,,
4/13/2026,71,4,the clay plate,2,the blint ,312,function,shape,1,,,,,,,,,,,
4/13/2026,71,5,present wrapped dog toy,5,the wap,123,function,shape,1,,,,,,,,,,,
4/13/2026,71,6,"green ""s""",4,the zimbo,231,function,shape,1,,,,,,,,,,,
4/13/2026,71,7,orange box,3,the dax,312,function,shape,1,function,2,,,,,,,,,
4/14/2026,72,1,white circular box,1,the fep,123,function,shape,1,,,,,,,,,,,
4/14/2026,72,2,the clay plate,2,the blicket,231,function,shape,1,,,,,,,,,,,
4/14/2026,72,3,present wrapped dog toy,5,the blint ,312,function,shape,1,,,,,,,,,,,
4/14/2026,72,4,"green ""s""",4,the wap,123,function,shape,1,,,,,,,,,,,
4/14/2026,72,5,orange box,3,the zimbo,231,function,shape,1,function,2,,,,,,,,,
4/14/2026,72,6,scissors w/bubbles,6,the dax,312,function,function,2,shape,1,,,,,,,,,
4/14/2026,72,7,brown clay heart,7,the gorp,123,function,function,2,,,,,,,,,,,
4/21/2026,73,1,orange box,3,the blint ,231,function,function,2,shape,1,,,,,,,,,
4/21/2026,73,2,scissors w/bubbles,6,the wap,312,function,function,2,shape,1,,,,,,,,,
4/21/2026,73,3,brown clay heart,7,the zimbo,123,function,shape,1,,,,,,,,,,,
4/21/2026,73,4,white circular box,1,the dax,123,function,shape,1,function,2,,,,,,,,,
4/21/2026,73,5,the clay plate,2,the gorp,231,function,distractor,3,,,,,,,,,,,
4/21/2026,73,6,present wrapped dog toy,5,the fep,312,function,shape,1,,,,,,,,,,,
4/21/2026,73,7,"green ""s""",4,the blicket,123,function,shape,1,,,,,,,,,,,
4/22/2026,74,1,brown clay heart,7,the wap,123,function,function,2,,,,,Yes,,,,,,
4/22/2026,74,2,white circular box,1,the zimbo,123,function,shape,1,function,2,,,,,,,,,
4/22/2026,74,3,the clay plate,2,the dax,231,function,function,2,shape,1,,,,,,,,,
4/22/2026,74,4,"green ""s""",4,the fep,123,function,function,2,shape,1,,,Yes,,,,,,
4/22/2026,74,5,orange box,3,the blicket,231,function,function,2,shape,1,,,,,,,,,
4/22/2026,74,6,scissors w/bubbles,6,the blint ,312,function,function,2,,,,,Yes,,,,,,
4/22/2026,74,7,,,,,function,,,,,,,,,,,,,
4/23/2026,75,1,"green ""s""",4,the dax,123,function,shape,1,function,2,,,,,,,,,
4/23/2026,75,2,orange box,3,the gorp,231,function,function,2,,,,,,,,,,,
4/23/2026,75,3,scissors w/bubbles,6,the fep,312,function,function,2,,,,,,,,,,,
4/23/2026,75,4,brown clay heart,7,the blicket,123,function,function,2,,,,,,,,,,,
4/23/2026,75,5,white circular box,1,the blint ,123,function,function,2,,,,,,,,,,,
4/23/2026,75,6,the clay plate,2,the wap,231,function,function,2,,,,,,,,,,,
4/23/2026,75,7,present wrapped dog toy,5,the zimbo,312,function,shape,1,,,,,,,,,,,
4/24/2026,76,1,scissors w/bubbles,6,the gorp,312,function,shape,1,,,,,,,,,,,
4/24/2026,76,2,brown clay heart,7,the fep,123,function,function,2,,,,,,,,,,,
4/24/2026,76,3,white circular box,1,the blicket,123,function,shape,1,,,,,,,,,,,
4/24/2026,76,4,the clay plate,2,the blint ,231,function,shape,1,,,,,,,,,,,
4/24/2026,76,5,present wrapped dog toy,5,the wap,312,function,shape,1,,,,,,,,,,,
4/24/2026,76,6,"green ""s""",4,the zimbo,123,function,shape,1,,,,,,,,,,,
4/24/2026,76,7,orange box,3,the dax,123,function,shape,1,,,,,,,,,,,
4/24/2026,77,1,white circular box,1,the fep,123,function,shape,1,function,2,,,,,,,,,
4/24/2026,77,2,the clay plate,2,the blicket,231,function,function,2,,,,,,,,,,,
4/24/2026,77,3,present wrapped dog toy,5,the blint ,312,function,shape,1,function,2,,,,,,,,,
4/24/2026,77,4,"green ""s""",4,the wap,123,function,function,2,shape,1,,,,,,,,,
4/24/2026,77,5,orange box,3,the zimbo,231,function,function,2,,,,,,,,,,,
4/24/2026,77,6,scissors w/bubbles,6,the dax,312,function,function,2,,,,,,,,,,,
4/24/2026,77,7,brown clay heart,7,the gorp,123,function,function,2,,,,,,,,,,,
4/22/2026,78,1,the clay plate,2,the wap,231,function,shape,1,,,,,,,,,,,
4/23/2026,78,2,present wrapped dog toy,5,the dax,312,function,shape,1,,,,,,,,,,,
4/24/2026,78,3,"green ""s""",4,the gorp,123,function,shape,1,,,,,,,,,,,
4/25/2026,78,4,orange box,3,the fep,231,function,function,2,,,shape,1,,,,,,,
4/26/2026,78,5,scissors w/bubbles,6,the blicket,312,function,function,2,,,shape,1,,,,,,,
4/27/2026,78,6,brown clay heart,7,the blint ,123,function,function,2,,,,,,,,,,,
4/28/2026,78,7,white circular box,1,the zimbo,231,function,function,2,shape,1,,,,,,,,,
4/27/2026,79,,,,,,,,,,,,,,,,,,,
4/28/2026,79,,,,,,,,,,,,,,,,,,,
4/29/2026,79,,,,,,,,,,,,,,,,,,,
4/30/2026,79,,,,,,,,,,,,,,,,,,,
5/1/2026,79,,,,,,,,,,,,,,,,,,,
5/2/2026,79,,,,,,,,,,,,,,,,,,,
5/3/2026,79,,,,,,,,,,,,,,,,,,,
4/30/2026,80,,,,,,,,,,,,,,yes,,,,,
4/30/2026,80,,,,,,,,,,,,,,yes,,,,,
4/30/2026,80,,,,,,,,,,,,,,yes,,,,,
4/30/2026,80,,,,,,,,,,,,,,yes,,,,,
4/30/2026,80,,,,,,,,,,,,,,yes,,,,,
4/30/2026,80,,,,,,,,,,,,,,yes,,,,,
4/30/2026,80,,,,,,,,,,,,,,yes,,,,,
4/30/2026,81,,orange box,,,,,shape,1,function,2,,,,,,,,,
4/30/2026,81,,the clay plate,,,,,function,2,,,,,,,,,,,
4/30/2026,81,,scissors w/bubbles,,,,,,,,,,,,,,,,,
4/30/2026,81,,white circular box,,,,,shape,1,function,2,,,,,,,,,
4/30/2026,81,,present wrapped dog toy,,,,,shape,1,,,,,,,,,,,
4/30/2026,81,,"green ""s""",,,,,function,2,shape,1,,,,,,,,,
4/30/2026,81,,brown clay heart,,,,,,,,,,,,,,,,,
4/27/2026,82,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4/15/2026,83,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5/4/2026,84,,,,,,,,,,,,,,,,,,,
,84,,,,,,,,,,,,,,,,,,,
,84,,,,,,,,,,,,,,,,,,,
,84,,,,,,,,,,,,,,,,,,,
,84,,,,,,,,,,,,,,,,,,,
,84,,,,,,,,,,,,,,,,,,,
,84,,,,,,,,,,,,,,yes,,,,,
