8,kidid,trial,standard,standard_number,standardlabel,order,condition,1st_response,dimension-1,2nd_response,dimension-2,3rd_response,dimension-3,test_objects,exclude?,confused? - coder1,confused?- coder2,more than one,more than one-coder2
1/28/2026,35,1,orange box,3,the gorp,312,function,distractor,3,shape,1,function,2,,,,,,
1/28/2026,35,2,scissors w/bubbles,6,the fep,123,function,function,2,shape,1,,,,,,,,
1/28/2026,35,3,brown clay heart,7,the blicket,231,function,function,2,,,,,,,,,,
1/28/2026,35,4,white circular box,1,the blint ,231,function,function,2,,,shape,1,,,,,,
1/28/2026,35,5,the clay plate,2,the wap,312,function,function,2,distractor,3,shape,1,,,,,,
1/28/2026,35,6,present wrapped dog toy,5,the zimbo,123,function,shape,1,,,,,,,,,,
1/28/2026,35,7,"green ""s""",4,the dax,231,function,function,2,,,shape,1,,,,,,
1/26/2026,36,1,white circular box,1,the wap,231,function,shape,1,function,2,,,,,,,,
1/26/2026,36,2,the clay plate,2,the zimbo,123,function,shape,1,,,,,,,,,,
1/26/2026,36,3,present wrapped dog toy,5,the dax,231,function,shape,1,,,,,,,,,,
1/26/2026,36,4,"green ""s""",4,the gorp,231,function,shape,1,,,,,,,,,,
1/26/2026,36,5,orange box,3,the fep,231,function,function,2,,,shape,1,,,,,,
1/26/2026,36,6,scissors w/bubbles,6,the blicket,312,function,shape,1,,,,,,,,,,
1/26/2026,36,7,brown clay heart,7,the blint ,231,function,function,2,,,,,,,,,,
1/29/2026,37,1,scissors w/bubbles,6,the fep,123,function,shape,1,,,,,,,,,,
1/29/2026,37,2,brown clay heart,7,the blicket,231,function,function,2,,,,,,,,,,
1/29/2026,37,3,white circular box,1,the blint ,231,function,shape,1,,,,,,,,,,
1/29/2026,37,4,the clay plate,2,the wap,312,function,shape,1,,,,,,,,,,
1/29/2026,37,5,present wrapped dog toy,5,the zimbo,123,function,shape,1,,,,,,,,,,
1/29/2026,37,6,"green ""s""",4,the dax,231,function,shape,1,,,,,,,,,,
1/29/2026,37,7,orange box,3,the gorp,312,function,shape,1,function,2,,,,,,,,
1/29/2026,38,1,brown clay heart,7,the fep,231,function,function,2,,,,,,,,,,
1/29/2026,38,2,white circular box,1,the blicket,231,function,shape,1,,,,,,,,,,
1/29/2026,38,3,the clay plate,2,the blint ,312,function,shape,1,,,,,,,,,,
1/29/2026,38,4,present wrapped dog toy,5,the wap,123,function,shape,1,,,,,,,,,,
1/29/2026,38,5,"green ""s""",4,the zimbo,231,function,shape,1,,,,,,,,,,
1/29/2026,38,6,orange box,3,the dax,312,function,shape,1,,,,,,,,,,
1/29/2026,38,7,scissors w/bubbles,6,the gorp,123,function,function,2,,,,,,,,,,
1/29/2026,39,1,white circular box,1,the fep,231,function,function,2,,,,,,,,,,
1/29/2026,39,2,the clay plate,2,the blicket,312,function,function,2,,,,,,,,,,
1/29/2026,39,3,present wrapped dog toy,5,the blint ,123,function,shape,1,,,,,,,,,,
1/29/2026,39,4,"green ""s""",4,the wap,231,function,function,2,,,,,,,,,,
1/29/2026,39,5,orange box,3,the zimbo,312,function,distractor,3,,,,,,,,,,
1/29/2026,39,6,scissors w/bubbles,6,the dax,123,function,distractor,3,,,,,,,,,,
1/29/2026,39,7,brown clay heart,7,the gorp,231,function,distractor,3,,,,,,,,,,
2/6/2026,40,1,the clay plate,2,the fep,312,function,distractor,3,,,,,,,,,,
2/6/2026,40,2,present wrapped dog toy,5,the blicket,123,function,shape,1,,,,,,,,,,
2/6/2026,40,3,"green ""s""",4,the blint ,231,function,function,2,shape,1,,,,,,,,
2/6/2026,40,4,orange box,3,the wap,312,function,function,2,,,,,,,,,,
2/6/2026,40,5,scissors w/bubbles,6,the zimbo,123,function,shape,1,function,2,,,,,,,,
2/6/2026,40,6,brown clay heart,7,the dax,231,function,shape,1,function,2,,,,,,,,
2/6/2026,40,7,white circular box,1,the gorp,231,function,function,2,,,,,Yes,,,,,
2/2/2026,41,1,white circular box,1,the gorp,231,function,shape,1,,,,,,,,,,
2/2/2026,41,2,the clay plate,2,the fep,312,function,distractor,3,,,,,,,,,,
2/2/2026,41,3,present wrapped dog toy,5,the blicket,123,function,shape,1,,,,,,,,,,
2/2/2026,41,4,"green ""s""",4,the blint ,231,function,shape,1,,,,,,,,,,
2/2/2026,41,5,orange box,3,the wap,312,function,shape,1,,,,,,,,,,
2/2/2026,41,6,scissors w/bubbles,6,the zimbo,123,function,shape,1,,,,,,,,,,
2/2/2026,41,7,brown clay heart,7,the dax,231,function,shape,1,,,,,,,,,,
2/3/2026,42,1,the clay plate,2,the gorp,312,function,function,2,,,shape,1,,,,,,
2/3/2026,42,2,present wrapped dog toy,5,the fep,123,function,shape,1,,,,,,,,,,
2/3/2026,42,3,"green ""s""",4,the blicket,231,function,shape,1,,,,,,,,,,
2/3/2026,42,4,orange box,3,the blint ,312,function,shape,1,,,function,2,,,,,,
2/3/2026,42,5,scissors w/bubbles,6,the wap,123,function,function,2,shape,1,,,,,,,,
2/3/2026,42,6,brown clay heart,7,the zimbo,231,function,function,1,,,,,,,,,,
2/3/2026,42,7,white circular box,1,the dax,231,function,shape,1,function,2,,,,,,,,
2/3/2026,43,1,present wrapped dog toy,5,the gorp,312,function,shape,1,,,,,,,,,,
2/3/2026,43,2,"green ""s""",4,the fep,123,function,function,2,shape,1,distractor,3,,,,,,
2/3/2026,43,3,orange box,3,the blicket,231,function,shape,1,function,2,distractor,3,,,,,,
2/3/2026,43,4,scissors w/bubbles,6,the blint ,312,function,function,2,,,,,,,,,,
2/3/2026,43,5,brown clay heart,7,the wap,123,function,function,2,,,,,,,,,,
2/3/2026,43,6,white circular box,1,the zimbo,123,function,function,2,,,,,,,,,,
2/3/2026,43,7,the clay plate,2,the dax,231,function,shape,1,function,2,,,,,,,,
2/3/2026,44,1,"green ""s""",4,the gorp,123,function,shape,1,,,,,,,,,,
2/3/2026,44,2,orange box,3,the fep,231,function,function,2,,,,,,,,,,
