date,kidid,gender,race,birthday,age (months),age (years),bilingual,2ndlang,trial,forcedchoice,standardlabel,order,condition,dimension,response,notes
10/16/2024,1,male,decline to state,1/5/2021,45.00,3.75,no,,1,yes,the dax,123,material,1,shape,
10/16/2024,1,male,decline to state,1/5/2021,45.00,3.75,,,2,,the fep,213,material,1,shape,
10/16/2024,1,male,decline to state,1/5/2021,45.00,3.75,,,3,,the blicket,123,material,1,shape,
10/16/2024,1,male,decline to state,1/5/2021,45.00,3.75,,,4,,the gorp,123,function,1,shape,
10/16/2024,1,male,decline to state,1/5/2021,45.00,3.75,,,5,,the blint,213,function,1,shape,"""looks like you can open it like a candy"" & ""only some squeak"""
10/16/2024,1,male,decline to state,1/5/2021,45.00,3.75,,,6,,the wap,321,function,1,function,"""you can put balls in it"" & ""it can grab something"""
10/16/2024,1,male,decline to state,1/5/2021,45.00,3.75,,,7,,the zimbo,123,function,1,function,"""it has a heart"""
10/23/2024,2,male,white,3/13/2021,43.00,3.58,,,1,,the blicket,123,material,3,distractor,
10/23/2024,2,male,white,3/13/2021,43.00,3.58,,,2,,the gorp,312,material,1,shape,
10/23/2024,2,male,white,3/13/2021,43.00,3.58,,,3,,the wap,231,material,1,shape,
10/23/2024,2,male,white,3/13/2021,43.00,3.58,,,4,,the blint,213,function,2,shape,
10/23/2024,2,male,white,3/13/2021,43.00,3.58,,,5,,the zimbo,321,function,1,function,
10/23/2024,2,male,white,3/13/2021,43.00,3.58,,,6,,the dax,132,function,2,shape,
10/23/2024,2,male,white,3/13/2021,43.00,3.58,,,7,,the fep,123,function,1,function,
10/23/2024,3,female,other,2/2/2020,56.00,4.67,,,1,,the dax,123,material,1,shape,"demographic form states ""Ak"" for race; asked ""what does a dax mean"" "
10/23/2024,3,female,other,2/2/2020,56.00,4.67,,,2,,the fep,312,material,3,distractor,
10/23/2024,3,female,other,2/2/2020,56.00,4.67,,,3,,the blicket,231,material,2,material,"""I do not have that in my home"""
10/23/2024,3,female,other,2/2/2020,56.00,4.67,,,4,,the gorp,213,function,2,shape,said it looked an S
10/23/2024,3,female,other,2/2/2020,56.00,4.67,,,5,,the wap,312,function,2,shape, used the yellow duck instead of the orange one
10/23/2024,3,female,other,2/2/2020,56.00,4.67,,,6,,the blint ,132,function,2,shape,
10/23/2024,3,female,other,2/2/2020,56.00,4.67,,,7,,the zimbo,213,function,1,function,"suggests another shape ""how about a square?"""
10/23/2024,4,male,decline to state,2/19/2021,44.00,3.67,,,1,yes,the fep,123,function,2,function,pretended to drive with it
10/23/2024,4,male,decline to state,2/19/2021,44.00,3.67,,,2,yes,the blicket,312,function,1,shape,showed me he knew how to play with it
10/23/2024,4,male,decline to state,2/19/2021,44.00,3.67,,,3,yes,the gorp,231,function,2,function,"told me there were 2, asked if it was a toy"
10/23/2024,4,male,decline to state,2/19/2021,44.00,3.67,,,4,yes,the wap,123,material,1,shape,"picked it up to play with object, discovered fx himself"
10/23/2024,4,male,decline to state,2/19/2021,44.00,3.67,,,5,yes,the blint ,312,material,3,distractor,"touched the blint, wanted to play with it/was distracted by the room (sinks, rubber duck hidden on the counter, etc)"
10/23/2024,4,male,decline to state,2/19/2021,44.00,3.67,,,6,yes,the zimbo ,231,material,3,distractor,"said the distractor ""looks like a car"" so maybe he just liked it best"
10/23/2024,4,male,decline to state,2/19/2021,44.00,3.67,,,7,yes,the dax,123,material,1,shape,"picked by shape first, then was being playful and selected the 2nd"
10/23/2024,5,female,other,5/29/2020,52.00,4.33,,,1,,the blicket,123,material,1,shape,"demographic form lists ""I"" as race"
10/23/2024,5,female,other,5/29/2020,52.00,4.33,,,2,,the gorp,312,material,3,distractor,originally picked by shape but hesitated and then picked the distractor when prompted
10/23/2024,5,female,other,5/29/2020,52.00,4.33,,,3,,the wap,231,material,2,material,
10/23/2024,5,female,other,5/29/2020,52.00,4.33,,,4,,the blint ,123,function,1,shape,said it was easy for her
10/23/2024,5,female,other,5/29/2020,52.00,4.33,,,5,,the zimbo,312,function,2,function,discovered fx herself
10/23/2024,5,female,other,5/29/2020,52.00,4.33,,,6,,the dax,231,function,2,function,"said the test object was softer and then proceeded to ask, ""why are all of the objects different or softer?"""
10/23/2024,5,female,other,5/29/2020,52.00,4.33,,,7,,the fep,123,function,3,distractor,"asked ""why that one can't hold water"""
10/24/2024,6,male,other,10/10/2020,48.00,4.00,,,1,,the gorp,123,function,3,distractor,"demo form says ""C/F, A"" ; asked if the cone from the warm up could make ice cream?; asked ""whats inside?"" for the gorp, it is made of paper, ""it is 2!""; pretends to grab things with the gorp"
10/24/2024,6,male,other,10/10/2020,48.00,4.00,,,2,,the wap,312,function,2,function,"asked what it is called, what a wap is, if it catches bugs; discovered it opens on his own; got distracted by ripping off the velcro; when he picked the fx one, he said it opens and closes (about the test object) and then played with the wap"
10/24/2024,6,male,other,10/10/2020,48.00,4.00,,,3,,the blint ,231,function,1,shape,"asked what it is, after some thought suggested it could be a claw and then sought validation in the possibility of it being a claw ""it looks like [a claw] right?"" x2; asked what the fx-based test object was, touched the distractor and then picked by shape"
