date,experimenter,coder,kidid,gender,race,birthday,age (months),age (years),bilingual,2ndlang,trial,standard,standard_number,standardlabel,order,condition,response,dimension,notes,exclude?,confused?,more than one,material comment
4/1/2025,Nive,,53,female,"AC, C",9/8/2020,54.00,4.50,,,1,brown clay heart,7,the dax,123,function,function,2,"experimenter says ""it makes a heart shape when i put it in clay"" instead of makes a heart",,no,no,
4/1/2025,,,53,female,"AC, C",9/9/2020,54.00,4.50,,,2,white circular box,1,the fep,231,function,shape,1,experimenter puts it aside instead of giving the kid a second option to play with it,,no,no,
4/1/2025,,,53,female,"AC, C",9/10/2020,54.00,4.50,,,3,the clay plate,2,the blicket,312,function,shape,1,"after selecting shape object says ""that's a paper blicket""",,no,no,"""that's a paper blicket"""
4/1/2025,,,53,female,"AC, C",9/11/2020,54.00,4.50,,,4,orange box,3,the gorp,123,material,distractor,3,"asks what the yellow things are for, selects all three???",,no,yes,
4/1/2025,,,53,female,"AC, C",9/12/2020,54.00,4.50,,,5,"green ""s""",4,the blint ,231,material,shape,1,"asks if it's for playing, selects 2 at first",,no,yes,
4/1/2025,,,53,female,"AC, C",9/13/2020,54.00,4.50,,,6,present wrapped dog toy,5,the wap,312,material,shape,1,says it looks like a ninja? says the material object looks like a present,,no,no,
4/1/2025,,,53,female,"AC, C",9/14/2020,54.00,4.50,,,7,scissors w/bubbles,6,the zimbo,123,material,material,2,"asks ""how do you play with it? do you open it?""",,no,no,
4/3/2025,Nive,Nive,54,female,"Af, C",12/1/2020,52.00,4.33,,,1,scissors w/bubbles,6,the dax,123,material,material,2,pointed to choice a couple times,,no,no,
4/3/2025,,,54,female,"Af, C",12/2/2020,52.00,4.33,,,2,brown clay heart,7,the fep,231,material,material,2,"when first presented with object, said ""and it have a heart on the top"", asked ""is it made out of chocolate""",,no,no,
4/3/2025,,,54,female,"Af, C",12/3/2020,52.00,4.33,,,3,white circular box,1,the blicket,312,material,material,2,experimenter took some time to get objects from under the desk,,no,no,
4/3/2025,,,54,female,"Af, C",12/4/2020,51.00,4.25,,,4,the clay plate,2,the gorp,123,function,distractor,3,"first asks ""what is it made out of"", then after demonstration asks ""is it dry""",,no,no,"first asks ""what is it made out of"", then after demonstration asks ""is it dry"""
4/3/2025,,,54,female,"Af, C",12/5/2020,51.00,4.25,,,5,orange box,3,the wap,231,function,shape,1,"asks what it is, mentions it has something in it and points to the plastic eggs, says ""that's a big wap""",,no,no,
4/3/2025,,,54,female,"Af, C",12/6/2020,51.00,4.25,,,6,"green ""s""",4,the blint ,312,function,function,2,"said ""it looks like an S when you turn it this way"", she pauses for a few seconds when asked to choose another one",,yes,no,
4/3/2025,,,54,female,"Af, C",12/7/2020,51.00,4.25,,,7,present wrapped dog toy,5,the zimbo,123,function,shape,1,"asks ""what is this here?"" referring to the paper, asks ""what is inside it then to make the squeaking sound"", after picking said ""i did it really fast""",,no,no,
4/8/2025,Nive,Nive,55,male,C,10/21/2019,65.00,5.42,,,1,white circular box,1,the dax,123,material,material,2,,,no,no,
4/8/2025,,,55,male,C,10/21/2019,65.00,5.42,,,2,the clay plate,2,the fep,231,material,material,2,"needed to ask kid to point to it one more time, was hovering between two",,yes,no,
4/8/2025,,,55,male,C,10/21/2019,65.00,5.42,,,3,orange box,3,the blicket,312,material,shape,1,"after trial asks ""is there a thing inside there""",,no,no,
4/8/2025,,,55,male,C,10/21/2019,65.00,5.42,,,4,"green ""s""",4,the gorp,123,function,shape,1,"actively twists object when playing with it, experimenter needed to tell him not to break it",,no,no,
4/8/2025,,,55,male,C,10/21/2019,65.00,5.42,,,5,present wrapped dog toy,5,the wap,231,function,shape,1,"asks ""is it for rockets"", tries to get the toy to squeak and inspects it, says ""there's a wire in there"", throws toy on the table to get it to squeak",,no,no,
4/8/2025,,,55,male,C,10/21/2019,65.00,5.42,,,6,scissors w/bubbles,6,the blint ,312,function,function,2,"says ""oh its a snow thing right?"", after demonstrating scooping sand asks ""why did you let it go?"", ""but why is there holes?""",,no,no,
4/8/2025,,,55,male,C,10/21/2019,65.00,5.42,,,7,brown clay heart,7,the zimbo,123,function,function,2,"initially asks ""but what is it?"", experimenter said makes a heart shape, asks ""but you can have other ones that make different shapes right""",,no,no,
4/10/2025,Nive,Nive,56,female,AA,5/9/2021,47.00,3.92,,,1,orange box,3,the dax,123,material,shape,1,"when asked, repeated ""yeah i see the dax"", when choosing asks ""this is one?""",,no,no,
4/10/2025,,,56,female,AA,5/9/2021,47.00,3.92,,,2,"green ""s""",4,the fep,231,material,material,2,"again repeats ""yeah i see the fep""",,no,no,
4/10/2025,,,56,female,AA,5/9/2021,47.00,3.92,,,3,present wrapped dog toy,5,the blicket,312,material,shape,1,"""i never heard of blicket before""",,no,no,
