date,experimenter,kidid,gender,race,birthday,age (months),age (years),bilingual,2ndlang,trial,standard,standard_number,standardlabel,order,condition,dimension,response,notes,exclude?,confused?,more than one,material comment
2/4/2025,,35,female,,8/1/2022,30.00,2.50,,,1,white circular box,1,the dax,123,material,2,material,,,no,no,no
2/4/2025,,35,female,,8/1/2022,30.00,2.50,,,2,the clay plate,2,the fep,312,material,2,material,"referring to the material match: ""that was like a bone""",,no,no,no
2/4/2025,,35,female,,8/1/2022,30.00,2.50,,,3,"green ""s""",4,the gorp,231,material,3,distractor,"""looks like a snake""",,no,no,no
2/4/2025,,35,female,,8/1/2022,30.00,2.50,,,4,scissors w/bubbles,5,the wap,123,material,1,shape,"researcher accidentally did 4 material trials and one set of obejcts needed repair. child referring to the distractor: ""this is not a wap! this is what babies need""",,no,no,no
2/4/2025,,35,female,,8/1/2022,30.00,2.50,,,5,present wrapped dog toy,6,the blint ,312,function,1,shape,"""it's like a telescope"" referring to the material match and the distractor ""this is not a blint! this is what babies use""",,no,no,no
2/4/2025,,35,female,,8/1/2022,30.00,2.50,,,6,brown clay heart,7,the zimbo,231,function,2,material,"""it kinda looks like chocolate"" researcher made the mistake of saying ""it makes a heart shape""",,no,no,no
2/4/2025,,35,female,,8/1/2022,30.00,2.50,,,-,orange box,3,,,,,,object needed repairs so the researcher skipped it,,no,no,no
2/10/2025,,36,female,asian,2/11/2021,47.00,3.92,no,,1,brown clay heart,7,the dax,123,material,2,material,,,no,no,no
2/10/2025,,36,female,asian,2/11/2021,47.00,3.92,,,2,white circular box,1,the fep,231,material,2,material,,,no,no,no
2/10/2025,,36,female,asian,2/11/2021,47.00,3.92,,,3,the clay plate,2,the blicket,312,material,2,material,,,no,no,no
2/10/2025,,36,female,asian,2/11/2021,47.00,3.92,,,4,orange box,3,the gorp,123,function,1,shape,,,no,no,no
2/10/2025,,36,female,asian,2/11/2021,47.00,3.92,,,5,"green ""s""",4,the blint ,231,function,2,function,,,no,no,no
2/10/2025,,36,female,asian,2/11/2021,47.00,3.92,,,6,present wrapped dog toy,5,the wap,312,function,1,shape,,,no,no,no
2/10/2025,,36,female,asian,2/11/2021,47.00,3.92,,,7,scissors w/bubbles,6,the zimbo,123,function,1,shape,,,no,no,no
2/19/2025,,37,male,asian,7/26/2020,54.00,4.50,,,1,scissors w/bubbles,6,the dax,123,function,2,function,grabs the function object and plays with it after selecting ,,no,no,no
2/19/2025,,37,male,asian,7/26/2020,54.00,4.50,,,2,brown clay heart,7,the fep,231,function,1,shape,,,no,no,no
2/19/2025,,37,male,asian,7/26/2020,54.00,4.50,,,3,white circular box,1,the blicket,312,function,2,function,closes the function object after selecting,,no,no,no
2/19/2025,,37,male,asian,7/26/2020,54.00,4.50,,,4,the clay plate,2,the gorp,123,material,1,shape,"seemed to be choosing between 2 objects but when asked ""which one?"" selected one",,yes,no,no
2/19/2025,,37,male,asian,7/26/2020,54.00,4.50,,,5,orange box,3,the blint ,231,material,1,shape,attempts to play with the handles but is told not to,,no,no,no
