date,kidid,trial,standard,standard_number,standardlabel,order,condition,1st_response,dimension-1,2nd_response,dimension-2,3rd_response,dimension-3,exclude?,confused? - coder1,confused?- coder2
8/7/2025,1,1,white circular box,1,the dax,123,function,shape,1,function,2,,,no,,
8/7/2025,1,2,the clay plate,2,the fep,231,function,function,2,,,,,no,,
8/7/2025,1,3,orange box,3,the blicket,312,function,shape,1,,,function,2,no,,
8/7/2025,1,4,"green ""s""",4,the gorp,123,function,shape,1,function,2,,,no,,
8/7/2025,1,5,present wrapped dog toy,5,the wap,231,function,shape,1,,,,,no,,
8/7/2025,1,6,scissors w/bubbles,6,the blint ,312,function,shape,1,,,function,2,no,,
8/7/2025,1,7,brown clay heart,7,the zimbo,123,function,function,2,shape,1,,,no,,
8/7/2025,2,1,white circular box,1,the dax,123,function,shape,1,function,2,,,no,,
8/7/2025,2,2,the clay plate,2,the fep,231,function,distractor,3,,,,,no,,
8/7/2025,2,3,orange box,3,the blicket,312,function,shape,1,distractor,3,function,2,no,,
8/7/2025,2,4,"green ""s""",4,the gorp,123,function,function,2,,,,,no,,
8/7/2025,2,5,present wrapped dog toy,5,the wap,231,function,shape,1,,,distractor,3,no,,
8/7/2025,2,6,scissors w/bubbles,6,the blint ,312,function,shape,1,,,function,2,no,,
8/7/2025,2,7,brown clay heart,7,the zimbo,123,function,function,2,,,,,no,,
8/8/2025,3,1,white circular box,1,the zimbo,123,function,function,2,shape,1,,,yes,"*HAD WATCHED SISTER DO ORIGINAL VERSION OF STUDY; Samah Abdelrahim consent form is shared with sister (ID 108), is that ok? but anyways we exclude",
8/8/2025,3,2,the clay plate,2,the dax,231,function,function,2,,,,,yes,,
8/8/2025,3,3,orange box,3,the fep,312,function,function,2,,,shape,1,yes,,
8/8/2025,3,4,"green ""s""",4,the blicket,123,function,shape,1,,,,,yes,,
8/8/2025,3,5,present wrapped dog toy,5,the gorp,231,function,distractor,3,,,shape,1,yes,,
8/8/2025,3,6,scissors w/bubbles,6,the wap,312,function,shape,1,,,function,2,yes,,
8/8/2025,3,7,brown clay heart,7,the blint ,123,function,function,2,shape,1,,,yes,,
8/14/2025,4,1,white circular box,1,the blint ,123,function,shape,1,function,2,distractor,3,no,,
8/14/2025,4,2,the clay plate,2,the zimbo,231,function,shape,1,function,2,distractor,3,no,,
8/14/2025,4,3,orange box,3,the dax,312,function,shape,1,distractor,3,function,2,no,,
8/14/2025,4,4,"green ""s""",4,the fep,123,function,shape,1,function,2,distractor,3,no,,
8/14/2025,4,5,present wrapped dog toy,5,the blicket,231,function,shape,1,,,distractor,3,no,,
8/14/2025,4,6,scissors w/bubbles,6,the gorp,312,function,shape,1,,,function,2,no,,
8/14/2025,4,7,brown clay heart,7,the wap,123,function,shape,1,,,distractor,3,no,,
8/14/2025,5,1,white circular box,1,the wap,123,function,shape,1,function,2,distractor,3,yes,,
8/14/2025,5,2,the clay plate,2,the blint ,231,function,function,2,distractor,3,shape,1,yes,,
8/14/2025,5,3,orange box,3,the zimbo,312,function,distractor,3,shape,1,function,2,yes,,
8/14/2025,5,4,"green ""s""",4,the dax,123,function,shape,1,function,2,distractor,3,yes,,
8/14/2025,5,5,present wrapped dog toy,5,the fep,231,function,function,2,distractor,3,shape,1,yes,,
8/14/2025,5,6,scissors w/bubbles,6,the blicket,312,function,distractor,3,shape,1,function,2,yes,,
8/14/2025,5,7,brown clay heart,7,the gorp,123,function,shape,1,function,2,distractor,3,yes,,
8/20/2025,6,1,white circular box,1,the gorp,123,function,shape,1,,,,,no,,
8/20/2025,6,2,the clay plate,2,the wap,231,function,function,2,distractor,3,shape,1,no,,
8/20/2025,6,3,orange box,3,the blint ,312,function,shape,1,distractor,3,function,2,no,,
8/20/2025,6,4,"green ""s""",4,the zimbo,123,function,distractor,3,,,,,no,,
8/20/2025,6,5,present wrapped dog toy,5,the dax,231,function,shape,1,function,2,distractor,3,no,,
8/20/2025,6,6,scissors w/bubbles,6,the fep,312,function,function,2,distractor,3,shape,1,no,,
8/20/2025,6,7,brown clay heart,7,the blicket,123,function,shape,1,function,2,distractor,3,no,,
8/20/2025,7,1,white circular box,1,the blicket,123,function,shape,1,,,,,no,,
8/20/2025,7,2,the clay plate,2,the gorp,231,function,shape,1,,,,,no,,
8/20/2025,7,3,orange box,3,the wap,312,function,shape,1,,,,,no,,
8/20/2025,7,4,"green ""s""",4,the blint ,123,function,shape,1,function,2,,,no,,
8/20/2025,7,5,present wrapped dog toy,5,the zimbo,231,function,shape,1,,,distractor,3,no,,
8/20/2025,7,6,scissors w/bubbles,6,the dax,312,function,shape,1,,,function,2,no,,
8/20/2025,7,7,brown clay heart,7,the fep,123,function,function,2,shape,1,,,no,,
8/21/2025,8,1,white circular box,1,the wap,123,function,shape,1,function,2,,,no,,
8/21/2025,8,2,the clay plate,2,the blint ,231,function,shape,1,function,2,,,no,,
8/21/2025,8,3,orange box,3,the zimbo,312,function,shape,1,distractor,3,function,2,no,,
8/21/2025,8,4,"green ""s""",4,the dax,123,function,shape,1,function,2,distractor,3,no,,
8/21/2025,8,5,present wrapped dog toy,5,the fep,231,function,shape,1,function,2,distractor,3,no,,
8/21/2025,8,6,scissors w/bubbles,6,the blicket,312,function,function,2,shape,1,,,no,,
8/21/2025,8,7,brown clay heart,7,the gorp,123,function,shape,1,function,2,,,no,,
8/21/2025,9,1,white circular box,1,the wap,,function,shape,1,,,,,no,,
8/21/2025,9,2,the clay plate,2,the blint ,,function,function,2,,,,,no,,
8/21/2025,9,3,orange box,3,the zimbo,,function,distractor,3,,,,,no,,
8/21/2025,9,4,"green ""s""",4,the dax,,function,distractor,3,function,2,,,no,,
8/21/2025,9,5,present wrapped dog toy,5,the fep,,function,shape,1,function,2,distractor,3,no,,
8/21/2025,9,6,scissors w/bubbles,6,the blicket,,function,function,2,distractor,3,shape,1,no,,
8/21/2025,9,7,brown clay heart,7,the gorp,,function,shape,1,distractor,3,function,2,no,,
