date,kidid,trial,standard,standard_number,standardlabel,order,condition,dimension,response,exclude?,confused?,more than one,term,forcedchoice,confused,confused?- coder2,more than one-coder2,confused? - coder1,age_mo_centered,shape_response
2/4/2025,35,1,white circular box,1,the dax,123,No Function,2,material,NA,no,no,winter25,NA,NA,NA,NA,NA,-18.006060606060615,0
2/4/2025,35,2,the clay plate,2,the fep,312,No Function,2,material,NA,no,no,winter25,NA,NA,NA,NA,NA,-18.006060606060615,0
2/4/2025,35,3,"green ""s""",4,the gorp,231,No Function,3,distractor,NA,no,no,winter25,NA,NA,NA,NA,NA,-18.006060606060615,0
2/4/2025,35,4,scissors w/bubbles,5,the wap,123,No Function,1,shape,NA,no,no,winter25,NA,NA,NA,NA,NA,-18.006060606060615,1
2/4/2025,35,5,present wrapped dog toy,6,the blint,312,Function,1,shape,NA,no,no,winter25,NA,NA,NA,NA,NA,-18.006060606060615,1
2/10/2025,36,1,brown clay heart,7,the dax,123,No Function,2,material,NA,no,no,winter25,NA,NA,NA,NA,NA,-1.0060606060606148,0
2/10/2025,36,2,white circular box,1,the fep,231,No Function,2,material,NA,no,no,winter25,NA,NA,NA,NA,NA,-1.0060606060606148,0
2/10/2025,36,3,the clay plate,2,the blicket,312,No Function,2,material,NA,no,no,winter25,NA,NA,NA,NA,NA,-1.0060606060606148,0
2/10/2025,36,4,orange box,3,the gorp,123,Function,1,shape,NA,no,no,winter25,NA,NA,NA,NA,NA,-1.0060606060606148,1
2/10/2025,36,5,"green ""s""",4,the blint,231,Function,2,function,NA,no,no,winter25,NA,NA,NA,NA,NA,-1.0060606060606148,0
2/10/2025,36,6,present wrapped dog toy,5,the wap,312,Function,1,shape,NA,no,no,winter25,NA,NA,NA,NA,NA,-1.0060606060606148,1
2/10/2025,36,7,scissors w/bubbles,6,the zimbo,123,Function,1,shape,NA,no,no,winter25,NA,NA,NA,NA,NA,-1.0060606060606148,1
2/19/2025,37,1,scissors w/bubbles,6,the dax,123,Function,2,function,NA,no,no,winter25,NA,NA,NA,NA,NA,5.993939393939385,0
2/19/2025,37,2,brown clay heart,7,the fep,231,Function,1,shape,NA,no,no,winter25,NA,NA,NA,NA,NA,5.993939393939385,1
2/19/2025,37,3,white circular box,1,the blicket,312,Function,2,function,NA,no,no,winter25,NA,NA,NA,NA,NA,5.993939393939385,0
2/19/2025,37,4,the clay plate,2,the gorp,123,No Function,1,shape,NA,yes,no,winter25,NA,NA,NA,NA,NA,5.993939393939385,1
2/19/2025,37,5,orange box,3,the blint,231,No Function,1,shape,NA,no,no,winter25,NA,NA,NA,NA,NA,5.993939393939385,1
